quarter_end,component,rank,characteristic,loading,proposed_name
2020-06-30,pc_3,4,analyst_rating,0.24327919841651782,
2020-06-30,pc_3,5,pe_ratio,0.21871044876982904,
2020-09-30,pc_1,1,close_price,0.39688486838934833,
2020-09-30,pc_1,2,ask_price,0.39687319707188573,
2020-09-30,pc_1,3,bid_price,0.3968506977771624,
2020-09-30,pc_1,4,rsi_14d,0.3534841268507871,
2020-09-30,pc_1,5,sales_growth,0.3087314304162651,
2020-09-30,pc_2,1,shares_outstanding,0.4867906843046886,
2020-09-30,pc_2,2,analyst_rating,0.42630184620484735,
2020-09-30,pc_2,3,market_cap,0.37715296452043023,
2020-09-30,pc_2,4,dividend_per_share,-0.3408656497966989,
2020-09-30,pc_2,5,price_to_sales,0.3088547883412727,
2020-09-30,pc_3,1,normalized_roe,-0.5897890872742324,
2020-09-30,pc_3,2,price_to_book,-0.5779380426909669,
2020-09-30,pc_3,3,volatility_60d,0.3127754321966179,
2020-09-30,pc_3,4,bid_price,0.19386208260594204,
2020-09-30,pc_3,5,close_price,0.193826392641161,
2020-12-31,pc_1,1,rsi_14d,0.37953251437953794,
2020-12-31,pc_1,2,ask_price,0.3643791930723102,
2020-12-31,pc_1,3,close_price,0.36436176807373405,
2020-12-31,pc_1,4,bid_price,0.3643510926201896,
2020-12-31,pc_1,5,sales_growth,0.33182405779114904,
2020-12-31,pc_2,1,shares_outstanding,0.4845950199618189,
2020-12-31,pc_2,2,analyst_rating,0.36912731254652204,
2020-12-31,pc_2,3,dividend_per_share,-0.35907714771280247,
2020-12-31,pc_2,4,market_cap,0.3368880115833027,
2020-12-31,pc_2,5,bid_price,-0.27039927312282896,
2020-12-31,pc_3,1,normalized_roe,-0.6224383753716397,
2020-12-31,pc_3,2,price_to_book,-0.5870451298133208,
2020-12-31,pc_3,3,sentiment,0.27049290255243197,
2020-12-31,pc_3,4,analyst_rating,0.22520857612221643,
2020-12-31,pc_3,5,volatility_60d,0.17948303974770138,
2021-03-31,pc_1,1,bid_price,0.4271622630379018,
2021-03-31,pc_1,2,close_price,0.427160800169331,
2021-03-31,pc_1,3,ask_price,0.4271458210877851,
2021-03-31,pc_1,4,rsi_14d,0.34277753523012294,
2021-03-31,pc_1,5,dividend_per_share,0.3141337796636078,
2021-03-31,pc_2,1,shares_outstanding,0.46848422464843015,
2021-03-31,pc_2,2,analyst_rating,0.4077388092827978,
2021-03-31,pc_2,3,market_cap,0.3943680637862122,
2021-03-31,pc_2,4,price_to_sales,0.2805006486691353,
2021-03-31,pc_2,5,sales_growth,0.27634694093780093,
2021-03-31,pc_3,1,normalized_roe,0.6143288303226049,
2021-03-31,pc_3,2,price_to_book,0.5915164481638819,
2021-03-31,pc_3,3,volatility_60d,-0.31941804851947275,
2021-03-31,pc_3,4,sentiment,-0.30354915044108577,
2021-03-31,pc_3,5,rsi_14d,0.14412097699288948,
2021-06-30,pc_1,1,bid_price,0.4474169194569412,
2021-06-30,pc_1,2,close_price,0.4474140612798355,
2021-06-30,pc_1,3,ask_price,0.4473817651780643,
2021-06-30,pc_1,4,dividend_per_share,0.3379287670258831,
2021-06-30,pc_1,5,rsi_14d,0.33658061183005344,
2021-06-30,pc_2,1,shares_outstanding,0.4913860093200212,
2021-06-30,pc_2,2,market_cap,0.4560123381725326,
2021-06-30,pc_2,3,analyst_rating,0.4336608034085288,
2021-06-30,pc_2,4,rsi_14d,0.3078345139577971,
2021-06-30,pc_2,5,price_to_sales,0.30135308374662395,
2021-06-30,pc_3,1,normalized_roe,-0.5067542615791212,
2021-06-30,pc_3,2,price_to_book,-0.4818310237389693,
2021-06-30,pc_3,3,sentiment,0.3978128955993496,
2021-06-30,pc_3,4,sales_growth,0.34052086452096575,
